Generation,Individual,x1,x2,Fitness
0,0,-2.866673,-0.114918,14.034901
0,1,0.887737,-2.191770,14.400628
0,2,-4.460753,2.181193,50.163553
0,3,-0.918111,-2.168556,11.943475
0,4,-2.482815,0.674912,41.106467
0,5,-1.012442,0.113338,3.498689
0,6,-2.404444,0.678782,38.820133
0,7,1.741284,1.824442,22.399361
0,8,-1.176749,-1.276696,20.242440
0,9,3.107966,0.678323,26.686501
0,10,-4.107402,1.011957,20.114864
0,11,-5.120000,4.078215,46.739988
0,12,4.861598,-0.342515,42.792179
0,13,1.791808,0.571552,29.946800
0,14,-4.203149,1.924567,29.571369
0,15,-2.564307,2.018840,29.916119
0,16,-3.830371,0.759214,29.831622
0,17,-0.825005,-0.386142,23.837930
0,18,-1.119621,-3.650560,33.123516
0,19,-2.937690,5.120000,38.311373
0,20,0.008913,-2.663204,22.295636
0,21,4.189951,-0.527579,44.000136
0,22,1.968066,0.885299,7.344117
0,23,-1.960858,-5.120000,33.070576
0,24,-0.491337,-0.160450,24.917968
0,25,-2.873225,0.878229,14.821908
0,26,0.447036,1.691483,36.106785
0,27,2.071301,0.158325,9.855342
0,28,0.194062,3.906710,23.526563
0,29,-0.369061,-2.162596,26.395526
0,30,-1.350648,-0.089096,19.269342
0,31,4.084619,1.988215,22.044918
0,32,-1.685590,0.480825,36.937340
0,33,-0.512114,-2.132901,28.071110
0,34,0.508619,3.372558,48.579914
0,35,0.625524,-3.172108,32.800242
0,36,-1.980257,-0.644180,20.582944
0,37,-3.858849,0.398869,36.779659
0,38,0.288730,-1.676222,29.773962
0,39,2.409828,2.960293,33.317685
0,40,1.188556,-1.325134,23.950607
0,41,-0.167792,2.967689,14.102085
0,42,1.366310,-2.132263,26.346822
0,43,1.711379,4.628934,53.652854
0,44,0.065012,-0.740532,11.969930
0,45,-1.071747,-4.106865,21.184798
0,46,5.120000,-1.873551,35.428513
0,47,2.988207,-0.905748,11.480083
0,48,-1.440937,-1.146995,26.681608
0,49,3.067907,3.013679,19.427738
1,0,-2.866673,-0.114918,14.034901
1,1,0.887737,-2.191770,14.400628
1,2,2.156029,-2.664725,31.287284
