Generation,Individual,x1,x2,Fitness
0,0,-0.924664,2.166727,11.652518
0,1,1.096929,0.680473,17.695102
0,2,1.096929,0.907943,5.452214
0,3,4.652391,0.872239,41.213885
0,4,1.386351,3.176245,35.097452
0,5,-0.750618,0.105574,12.656368
0,6,-4.309065,-3.142889,45.839041
0,7,1.096929,-3.728146,28.269072
0,8,0.222763,1.849356,15.921655
0,9,-5.027605,0.907943,27.877887
0,10,-1.062261,1.032764,3.161613
0,11,-0.404268,-3.813858,39.048311
0,12,0.054968,3.176245,16.212021
0,13,-4.309065,-3.142889,45.839041
0,14,-2.813153,-1.983590,18.036875
0,15,4.652391,0.872239,41.213885
0,16,-0.924664,3.985309,17.879790
0,17,-1.002617,2.811985,15.116956
0,18,0.054968,-2.021443,4.770386
0,19,-1.174045,1.731547,20.940212
0,20,-3.276111,3.949423,38.464823
0,21,-1.935655,3.662872,33.174605
0,22,-5.027605,-3.675953,53.425977
0,23,-3.478188,3.662872,60.625687
0,24,-4.516634,-2.171545,50.328782
0,25,2.569348,-2.795699,40.651070
0,26,1.416675,2.113894,27.589178
0,27,-1.489536,3.985309,38.122369
0,28,-4.197137,0.907943,26.806276
0,29,-0.750618,-4.109751,29.699572
0,30,1.096929,-2.021443,7.178034
0,31,-5.027605,-0.848307,30.355022
0,32,1.068331,1.731547,16.203998
0,33,-0.924664,3.985309,17.879790
0,34,1.711168,2.900336,25.653263
0,35,-0.394831,1.196115,26.160217
0,36,1.744115,1.849356,20.986693
0,37,1.093950,-0.594163,21.542311
0,38,-0.394831,1.196115,26.160217
0,39,0.573914,-3.142889,32.914609
0,40,2.320676,3.662244,48.332471
0,41,-0.404268,3.985309,34.333571
0,42,0.054968,3.176245,16.212021
0,43,-5.027605,-0.848307,30.355022
0,44,2.569348,4.623373,64.185756
0,45,-0.394831,1.196115,26.160217
0,46,3.976781,0.580006,35.020318
0,47,-1.935655,3.662872,33.174605
0,48,-0.750618,0.445446,30.141287
0,49,-1.159135,-2.133502,13.807939
1,0,4.652391,0.872239,41.213885
1,1,0.573914,-3.142889,32.914609
1,2,1.096929,1.731547,17.156281
1,3,1.096929,-3.728146,28.269072
1,4,-0.924664,3.985309,17.879790
1,5,3.976781,3.922593,32.467365
1,6,1.744115,3.949423,29.510272
1,7,3.976781,-3.142889,29.565425
1,8,0.222763,2.811985,22.456950
1,9,-1.789919,1.196115,18.831122
1,10,1.093950,-0.594163,21.542311
1,11,-0.924664,2.166727,11.652518
1,12,0.054968,1.196115,8.702817
1,13,-2.813153,-1.983590,18.036875
1,14,1.096929,1.032764,4.278938
1,15,-2.813153,-3.675953,42.048262
1,16,1.096929,2.900336,13.310578
1,17,-0.750618,0.105574,12.656368
1,18,1.711168,2.900336,25.653263
1,19,-3.276111,0.872239,26.179649
1,20,-5.027605,-0.848307,30.355022
1,21,-1.062261,1.032764,3.161613
1,22,-0.924664,3.985309,17.879790
1,23,-5.027605,-0.848307,30.355022
1,24,1.068331,-2.021443,6.225751
1,25,-0.750618,-4.574801,50.369143
1,26,-0.924664,2.900336,12.263928
1,27,1.096929,0.680473,17.695102
1,28,-0.404268,-0.848307,23.336480
1,29,-1.489536,3.985309,38.122369
1,30,1.096929,0.907943,5.452214
1,31,1.096929,0.907943,5.452214
1,32,-1.935655,3.662872,33.174605
1,33,1.096929,0.872239,6.814653
1,34,1.096929,-0.394409,21.035491
1,35,-5.027605,-0.848307,30.355022
1,36,0.222763,1.849356,15.921655
1,37,1.711168,2.900336,25.653263
1,38,1.416675,2.113894,27.589178
1,39,-4.309065,-3.142889,45.839041
1,40,1.093950,2.113894,9.810705
1,41,0.222763,1.849356,15.921655
1,42,-0.924664,1.849356,9.529599
1,43,-1.159135,-2.964088,14.978838
1,44,1.783552,0.680473,25.782432
1,45,-4.309065,-3.142889,45.839041
1,46,-0.468352,-3.813858,40.662293
1,47,1.093950,-0.594163,21.542311
1,48,1.744115,1.849356,20.986693
1,49,-1.935655,2.811985,18.663312
2,0,1.096929,0.907943,5.452214
2,1,1.093950,2.113894,9.810705
2,2,-1.062261,-0.394409,19.918165
2,3,-1.739446,1.849356,21.263368
2,4,1.096929,-3.728146,28.269072
2,5,4.144809,-0.848307,25.969084
2,6,1.096929,-0.394409,21.035491
2,7,1.096929,1.032764,4.278938
2,8,1.096929,1.032764,4.278938
2,9,1.096929,0.907943,5.452214
2,10,1.096929,0.907943,5.452214
2,11,0.054968,1.849356,8.168601
2,12,1.711168,0.872239,19.157338
2,13,1.068331,-2.021443,6.225751
2,14,-0.924664,0.872239,5.768003
2,15,-0.924664,2.900336,12.263928
2,16,-2.009656,0.907943,6.508152
2,17,1.096929,0.872239,6.814653
2,18,-2.813153,-1.983590,18.036875
2,19,1.093950,-0.594163,21.542311
2,20,-3.276111,-3.728146,47.634068
2,21,-0.924664,3.985309,17.879790
2,22,0.222763,1.849356,15.921655
2,23,1.711168,-2.021443,19.520719
2,24,-0.924664,3.985309,17.879790
2,25,3.649030,-0.848307,34.170636
2,26,1.093950,-0.594163,21.542311
2,27,0.991664,1.849356,8.572179
2,28,1.068331,3.985309,17.974157
2,29,1.711168,2.900336,25.653263
2,30,5.047720,3.662872,54.547287
2,31,-0.924664,2.113894,8.876212
2,32,1.096929,-1.983590,6.988917
2,33,-1.935655,-2.964088,13.592256
2,34,-1.789919,1.849356,18.296906
2,35,-1.736144,0.680473,28.577614
2,36,-0.924664,2.166727,11.652518
2,37,-0.924664,2.166727,11.652518
2,38,4.077163,1.731547,31.930818
2,39,-0.924664,3.985309,17.879790
2,40,1.096929,1.849356,10.576249
2,41,-2.813153,1.032764,15.326896
2,42,1.096929,0.907943,5.452214
2,43,-0.750618,2.811985,24.634975
2,44,-2.813153,3.432405,44.942108
2,45,-0.924664,-0.394409,19.988841
2,46,-0.924664,0.907943,4.405564
2,47,-0.924664,2.166727,11.652518
2,48,1.096929,1.731547,17.156281
2,49,1.068331,-2.021443,6.225751
3,0,1.096929,4.848970,30.688322
3,1,-4.046143,1.032764,18.066370
3,2,1.068331,-2.021443,6.225751
3,3,-0.924664,2.900336,12.263928
3,4,1.096929,0.907943,5.452214
3,5,1.711168,1.032764,16.621623
3,6,-2.524129,2.113894,33.178205
3,7,-0.924664,0.872239,5.768003
3,8,1.093950,-0.594163,21.542311
3,9,0.950795,2.900336,11.687530
3,10,-0.924664,2.780570,17.777114
3,11,-0.924664,2.113894,8.876212
3,12,1.096929,4.257894,31.626603
3,13,-1.935655,1.032764,5.830707
3,14,-0.924664,3.036029,11.427147
3,15,-2.813153,3.432405,44.942108
3,16,1.096929,0.907943,5.452214
3,17,-3.505713,0.907943,34.734613
3,18,1.096929,1.032764,4.278938
3,19,1.096929,0.907943,5.452214
3,20,1.096929,0.907943,5.452214
3,21,1.711168,0.872239,19.157338
3,22,1.096929,0.907943,5.452214
3,23,1.096929,0.346481,18.818767
3,24,-0.924664,1.849356,9.529599
3,25,-4.652860,3.985309,53.305896
3,26,-1.739446,1.849356,21.263368
3,27,0.991664,1.849356,8.572179
3,28,-2.009656,3.985309,19.982378
3,29,-0.924664,-2.021443,6.131384
3,30,1.096929,0.907943,5.452214
3,31,1.096929,1.849356,10.576249
3,32,4.144809,1.790127,31.750837
3,33,-2.813153,3.946887,30.178754
3,34,1.068331,-2.021443,6.225751
3,35,-0.924664,-3.493015,34.146059
3,36,1.096929,1.849356,10.576249
3,37,1.096929,1.032764,4.278938
3,38,-0.924664,-0.394409,19.988841
3,39,-0.924664,-2.922112,11.667037
3,40,4.255493,0.907943,30.905301
3,41,1.243717,2.166727,20.850133
3,42,1.096929,0.907943,5.452214
3,43,-1.062261,-0.394409,19.918165
3,44,-0.924664,-1.983590,5.942267
3,45,-0.924664,2.166727,11.652518
3,46,1.068331,-2.021443,6.225751
3,47,1.096929,1.032764,4.278938
3,48,-0.924664,2.166727,11.652518
3,49,1.096929,0.907943,5.452214
4,0,4.631684,-2.021443,42.397306
4,1,1.068331,-2.021443,6.225751
