Generation,Individual,x1,x2,Fitness
0,0,-1.347758,-1.210962,26.617861
0,1,-1.576277,-0.771953,30.578942
0,2,-1.733530,2.356338,35.785732
0,3,-0.806822,-0.943141,8.677024
0,4,0.368248,-0.019235,16.973751
0,5,-1.236240,-0.452717,30.431692
0,6,0.310208,-0.248166,23.736021
0,7,-2.313313,-1.427448,40.241821
0,8,-0.016983,-0.813802,6.817136
0,9,-0.034051,-0.122781,3.075280
0,10,-0.005020,-0.357117,16.366154
0,11,-0.006190,-1.565792,21.616971
0,12,0.231697,1.303446,23.900504
0,13,-0.693114,-0.024038,14.093453
0,14,-0.046823,0.349289,16.395514
0,15,-0.056886,-0.188543,6.904597
0,16,0.159619,-1.386362,24.126447
0,17,0.556465,0.169616,24.876984
0,18,-2.096168,-0.203844,13.346580
0,19,4.770902,2.339484,52.256013
0,20,-1.156768,-0.005904,5.816442
0,21,-2.544822,0.014874,26.126026
0,22,-0.545352,-1.369662,38.600119
0,23,1.490022,-1.198947,30.484938
0,24,0.158673,-0.137409,8.116742
0,25,0.001796,2.167196,9.726181
0,26,-0.182835,-0.903931,8.521669
0,27,1.270476,-1.951490,17.166346
0,28,-0.439861,-0.272179,30.951116
0,29,-2.844323,-0.218422,20.581160
0,30,0.362104,-0.291341,29.259998
0,31,-1.145526,3.083669,16.068654
0,32,0.431793,-0.568522,38.692748
0,33,0.623772,0.198491,24.373694
0,34,-0.183089,0.069430,6.893511
0,35,-0.533665,-4.450622,59.392530
0,36,-0.199482,-0.038609,7.213003
0,37,0.118347,-0.128150,5.740306
0,38,2.759633,3.518419,49.323068
0,39,-0.061812,1.280073,14.265495
0,40,0.593803,-1.734960,32.619127
0,41,1.474121,-0.744300,32.953178
0,42,1.053079,0.326807,16.407542
0,43,-1.944960,-0.486668,24.576695
0,44,-0.096196,0.662729,17.432844
0,45,0.228503,-1.449689,30.311728
0,46,1.802463,-0.413778,28.751175
0,47,1.274461,-2.613708,37.541131
0,48,1.905509,0.653598,21.462913
0,49,-1.158931,0.495915,26.170880
1,0,-0.627534,-0.989454,18.352377
1,1,1.951410,0.540968,24.233605
1,2,-3.758136,-0.514282,43.836845
1,3,1.014782,-0.104525,3.164002
1,4,1.446335,-0.105076,23.641189
1,5,0.647920,-0.063501,17.192370
1,6,-1.198905,0.060082,8.989580
1,7,0.182211,-0.973679,6.986033
1,8,0.004819,-1.838323,8.115022
1,9,-0.060966,-0.656219,16.716405
1,10,-0.015718,-1.081689,2.507569
1,11,-0.016769,0.222488,8.385208
1,12,1.167019,1.346103,23.871085
1,13,1.022864,-0.166541,6.170147
1,14,0.564026,-0.356044,35.827325
1,15,-0.000756,0.110194,2.314892
1,16,0.418724,0.392336,36.851257
1,17,-0.925706,0.448412,21.607155
1,18,0.068309,-1.710538,16.291767
1,19,-2.343721,1.318558,36.961423
1,20,-2.007779,-0.057588,4.693961
1,21,0.467873,-0.158910,24.625127
1,22,-0.255374,-2.886573,21.168997
1,23,-0.623852,-3.000553,26.514467
1,24,1.474813,-1.053515,23.719989
1,25,0.013159,1.416118,20.682707
1,26,0.312559,0.674648,28.942746
1,27,0.607254,-2.918344,27.986981
1,28,-0.250035,-1.806453,19.854825
1,29,2.129718,-1.210742,16.701496
1,30,2.370058,-0.362722,39.101994
1,31,0.562054,0.291560,32.232078
1,32,0.454929,1.374389,38.741455
1,33,1.542984,-0.014418,22.059517
1,34,-0.312798,-0.089180,15.479173
1,35,1.453321,-2.187744,32.658695
1,36,1.463675,-0.760025,31.831147
1,37,-0.375357,-0.394211,35.254254
1,38,-0.359952,-0.706277,29.713105
1,39,-0.003567,3.359870,27.659172
1,40,-0.560281,-4.729488,53.258456
1,41,-4.830634,-1.684623,45.313810
1,42,1.715845,1.060646,16.915918
1,43,1.470310,-2.262257,37.875495
1,44,0.103308,2.282652,19.292114
1,45,0.452737,1.610051,40.062619
1,46,-1.571235,1.306351,36.657410
1,47,-2.235320,0.986896,15.083431
1,48,4.759206,1.843716,39.917335
1,49,-1.177862,-0.583889,25.992061
2,0,0.468298,-0.072985,21.060082
2,1,1.258289,0.540827,32.069126
2,2,-2.090525,0.160074,10.616024
2,3,1.630955,0.370792,36.480743
2,4,0.123407,-0.027049,3.018562
2,5,1.143535,0.190415,11.485400
2,6,-0.506127,0.134761,23.642532
2,7,1.338932,0.410559,35.724837
2,8,-0.012909,1.125994,4.274131
2,9,0.025719,-0.387895,17.901577
2,10,-0.019313,-1.431745,21.218201
2,11,-0.018152,1.068841,2.128681
2,12,0.594724,-0.157738,23.181419
2,13,0.992836,-0.205969,8.306852
2,14,-0.088094,-0.465484,21.483364
2,15,0.027529,0.200730,7.143742
2,16,0.329714,-0.368651,31.829839
2,17,-0.397133,0.442867,37.699387
2,18,0.058595,-0.154010,5.025075
2,19,-4.601503,0.510312,59.447574
2,20,-1.784418,-0.050075,11.531789
2,21,1.483149,-0.055732,22.753719
2,22,0.225925,-2.384708,31.719902
2,23,-1.246664,-2.708546,31.256092
2,24,0.594104,-0.131206,21.882454
2,25,0.003049,1.285763,13.883195
2,26,0.264918,-1.163032,17.162274
2,27,-0.222123,0.858357,12.749111
2,28,0.150538,-0.233008,13.160899
2,29,2.613926,-0.986515,25.387252
2,30,1.630038,-0.245841,29.299932
2,31,0.932945,2.566480,27.471919
2,32,-1.793477,-5.120000,39.443387
2,33,1.129620,-0.099675,6.320939
2,34,0.117788,-0.024938,2.752876
2,35,1.262472,-0.344923,28.112450
2,36,-0.490495,-0.089743,21.778903
2,37,-0.035685,-0.375342,17.478722
2,38,-1.772479,-2.078456,17.244551
2,39,-0.054055,-0.162356,5.367843
2,40,0.054976,-0.041797,0.938310
2,41,-5.120000,2.855558,40.922206
2,42,1.802079,0.045511,10.441510
2,43,-3.703545,-1.223136,36.410013
2,44,-0.049671,-0.198995,7.375006
2,45,0.118885,0.469472,22.713678
2,46,-0.830773,-0.375454,23.062323
2,47,-2.780307,2.516921,42.115772
2,48,-0.337016,-0.268850,26.566507
2,49,-0.361807,4.831900,45.017647
3,0,0.083986,-0.392072,19.308574
3,1,1.276550,-0.177794,18.938839
3,2,-0.747123,0.273928,22.311755
3,3,0.876920,-0.335236,18.828655
