Generation,Individual,x1,x2,Fitness
0,0,-0.392969,-4.109103,37.120901
0,1,-0.392969,-4.109103,37.120901
1,0,0.962307,-4.109103,20.348946
1,1,0.962307,-4.109103,20.348946
2,0,0.962307,-4.109103,20.348946
2,1,0.962307,-4.109103,20.348946
3,0,0.962307,-4.109103,20.348946
3,1,0.962307,-4.109103,20.348946
4,0,0.962307,-4.109103,20.348946
4,1,0.962307,-4.109103,20.348946
5,0,0.962307,1.748870,14.334708
5,1,0.962307,1.748870,14.334708
6,0,0.962307,1.748870,14.334708
6,1,0.962307,1.748870,14.334708
7,0,0.962307,1.748870,14.334708
7,1,0.962307,1.748870,14.334708
8,0,0.962307,1.045464,2.703405
8,1,0.962307,1.045464,2.703405
9,0,0.962307,1.045464,2.703405
9,1,0.962307,1.045464,2.703405
10,0,0.962307,1.045464,2.703405
10,1,0.962307,1.045464,2.703405
11,0,0.962307,1.045464,2.703405
11,1,0.962307,1.045464,2.703405
12,0,0.962307,1.045464,2.703405
12,1,0.962307,1.045464,2.703405
13,0,0.962307,1.045464,2.703405
13,1,0.962307,1.045464,2.703405
14,0,0.962307,1.045464,2.703405
14,1,0.962307,1.045464,2.703405
15,0,0.962307,1.045464,2.703405
15,1,0.962307,1.045464,2.703405
16,0,0.962307,1.045464,2.703405
16,1,0.962307,1.045464,2.703405
17,0,0.962307,1.045464,2.703405
17,1,0.962307,1.045464,2.703405
18,0,0.962307,1.045464,2.703405
18,1,0.962307,1.045464,2.703405
19,0,0.962307,1.045464,2.703405
19,1,0.962307,1.045464,2.703405
20,0,0.962307,1.045464,2.703405
20,1,0.962307,1.045464,2.703405
21,0,0.962307,1.045464,2.703405
21,1,0.962307,1.045464,2.703405
22,0,0.962307,1.045464,2.703405
22,1,0.962307,1.045464,2.703405
23,0,0.962307,1.045464,2.703405
23,1,0.962307,1.045464,2.703405
24,0,0.962307,1.045464,2.703405
24,1,0.962307,1.045464,2.703405
25,0,0.962307,1.045464,2.703405
25,1,0.962307,1.045464,2.703405
26,0,0.962307,1.045464,2.703405
26,1,0.962307,1.045464,2.703405
27,0,0.962307,1.045464,2.703405
27,1,0.962307,1.045464,2.703405
28,0,-1.010107,1.045464,2.538701
28,1,-1.010107,1.045464,2.538701
29,0,-1.010107,1.045464,2.538701
29,1,-1.010107,1.045464,2.538701
30,0,-1.010107,1.045464,2.538701
30,1,-1.010107,1.045464,2.538701
31,0,-1.010107,1.045464,2.538701
31,1,-1.010107,1.045464,2.538701
