25 38,24 42,45 21,91 38,83 69,71 71,58 69,18 54,13 40,7 64,4 50,54 62,71 44,83 46,82 7,37 84,41 94,2 99,54 67,41 26,68 58,87 76,44 35,74 78,25 62,64 60,18 40,62 32,22 60,58 35,
41 26,24 42,25 38,44 35,58 69,54 67,54 62,64 60,71 71,83 69,87 76,74 78,41 94,37 84,25 62,22 60,2 99,7 64,4 50,18 54,13 40,18 40,68 58,62 32,71 44,83 46,91 38,82 7,58 35,45 21,
41 26,24 42,25 38,44 35,58 69,54 67,54 62,64 60,71 71,83 69,87 76,74 78,41 94,37 84,25 62,22 60,2 99,7 64,4 50,18 54,13 40,18 40,68 58,62 32,71 44,83 46,91 38,82 7,58 35,45 21,
74 78,41 94,37 84,2 99,25 62,18 54,13 40,22 60,7 64,4 50,18 40,24 42,25 38,41 26,58 35,62 32,71 44,64 60,68 58,54 62,71 71,83 46,91 38,82 7,45 21,44 35,54 67,58 69,87 76,83 69,
58 69,54 62,68 58,64 60,83 69,87 76,74 78,71 71,54 67,37 84,25 62,7 64,18 54,22 60,24 42,13 40,18 40,25 38,44 35,41 26,45 21,58 35,62 32,82 7,91 38,83 46,71 44,4 50,2 99,41 94,
58 69,54 62,68 58,64 60,83 69,87 76,74 78,71 71,54 67,37 84,25 62,7 64,18 54,22 60,24 42,13 40,18 40,25 38,44 35,41 26,45 21,58 35,62 32,82 7,91 38,83 46,71 44,4 50,2 99,41 94,
58 69,54 62,68 58,64 60,83 69,87 76,74 78,71 71,54 67,37 84,25 62,7 64,18 54,22 60,24 42,13 40,18 40,25 38,44 35,41 26,45 21,58 35,62 32,82 7,91 38,83 46,71 44,4 50,2 99,41 94,
58 69,54 62,68 58,64 60,83 69,87 76,74 78,71 71,54 67,37 84,25 62,7 64,18 54,22 60,24 42,13 40,18 40,25 38,44 35,41 26,45 21,58 35,62 32,82 7,91 38,83 46,71 44,4 50,2 99,41 94,
22 60,25 62,18 54,18 40,41 26,45 21,82 7,91 38,68 58,64 60,83 46,71 44,62 32,58 35,44 35,25 38,24 42,54 67,54 62,58 69,71 71,83 69,87 76,74 78,41 94,37 84,2 99,7 64,13 40,4 50,
87 76,83 46,91 38,82 7,44 35,41 26,45 21,18 40,13 40,18 54,37 84,41 94,2 99,25 62,22 60,7 64,4 50,24 42,25 38,58 35,62 32,71 44,68 58,54 62,58 69,54 67,64 60,83 69,71 71,74 78,
87 76,83 46,91 38,82 7,44 35,41 26,45 21,18 40,13 40,18 54,37 84,41 94,2 99,25 62,22 60,7 64,4 50,24 42,25 38,58 35,62 32,71 44,68 58,54 62,58 69,54 67,64 60,83 69,71 71,74 78,
87 76,83 46,91 38,82 7,44 35,41 26,45 21,18 40,13 40,18 54,37 84,41 94,2 99,25 62,22 60,7 64,4 50,24 42,25 38,58 35,62 32,71 44,68 58,54 62,58 69,54 67,64 60,83 69,71 71,74 78,
87 76,83 46,91 38,82 7,44 35,41 26,45 21,18 40,13 40,18 54,37 84,41 94,2 99,25 62,22 60,7 64,4 50,24 42,25 38,58 35,62 32,71 44,68 58,54 62,58 69,54 67,64 60,83 69,71 71,74 78,
87 76,83 46,91 38,82 7,44 35,41 26,45 21,18 40,13 40,18 54,37 84,41 94,2 99,25 62,22 60,7 64,4 50,24 42,25 38,58 35,62 32,71 44,68 58,54 62,58 69,54 67,64 60,83 69,71 71,74 78,
4 50,2 99,7 64,18 54,18 40,25 62,37 84,41 94,58 69,54 62,54 67,64 60,68 58,71 44,71 71,74 78,87 76,83 69,83 46,91 38,82 7,62 32,58 35,45 21,41 26,44 35,25 38,24 42,22 60,13 40,
