Run,Route
0,18 40 25 38 24 42 13 40 4 50 18 54 7 64 2 99 41 94 37 84 25 62 22 60 44 35 41 26 45 21 58 35 62 32 83 46 91 38 82 7 71 44 68 58 64 60 54 67 58 69 83 69 87 76 74 78 71 71 54 62 
1,7 64 13 40 18 40 25 38 45 21 41 26 82 7 91 38 71 44 83 46 83 69 87 76 74 78 71 71 54 62 54 67 58 69 64 60 68 58 62 32 58 35 44 35 24 42 18 54 22 60 25 62 37 84 41 94 2 99 4 50 
2,37 84 2 99 7 64 25 62 22 60 18 40 25 38 24 42 13 40 4 50 18 54 64 60 68 58 71 44 83 46 91 38 82 7 45 21 41 26 44 35 58 35 62 32 54 62 54 67 58 69 74 78 71 71 83 69 87 76 41 94 
3,91 38 83 46 62 32 71 44 64 60 71 71 74 78 87 76 83 69 68 58 58 69 54 62 54 67 41 94 37 84 2 99 7 64 25 62 22 60 4 50 18 54 18 40 13 40 24 42 25 38 44 35 45 21 41 26 58 35 82 7 
4,82 7 91 38 83 46 71 44 45 21 44 35 58 35 62 32 68 58 64 60 58 69 54 67 54 62 71 71 87 76 83 69 74 78 41 94 37 84 2 99 22 60 25 62 18 54 7 64 4 50 13 40 18 40 25 38 24 42 41 26 
5,83 46 91 38 82 7 62 32 58 35 71 44 68 58 64 60 58 69 41 94 37 84 2 99 7 64 13 40 4 50 18 54 22 60 25 62 25 38 24 42 18 40 45 21 41 26 44 35 54 62 54 67 74 78 71 71 87 76 83 69 
6,58 69 54 62 58 35 71 44 68 58 71 71 74 78 87 76 83 69 41 94 37 84 2 99 7 64 18 54 25 62 22 60 4 50 18 40 13 40 24 42 25 38 41 26 45 21 44 35 62 32 82 7 91 38 83 46 64 60 54 67 
7,13 40 4 50 7 64 25 62 18 54 22 60 2 99 37 84 41 94 54 67 58 69 54 62 64 60 68 58 71 44 71 71 74 78 87 76 83 69 83 46 91 38 82 7 44 35 58 35 62 32 45 21 41 26 25 38 24 42 18 40 
8,64 60 68 58 71 44 62 32 58 35 41 26 44 35 45 21 82 7 91 38 83 46 74 78 83 69 87 76 41 94 37 84 2 99 7 64 4 50 13 40 18 40 25 38 24 42 18 54 25 62 22 60 54 62 58 69 71 71 54 67 
9,41 94 2 99 7 64 25 62 22 60 18 54 4 50 13 40 25 38 18 40 24 42 44 35 45 21 41 26 58 35 82 7 91 38 83 46 62 32 71 44 68 58 54 62 64 60 74 78 83 69 87 76 71 71 54 67 58 69 37 84 
10,44 35 45 21 41 26 25 38 24 42 13 40 18 40 4 50 7 64 2 99 41 94 37 84 22 60 18 54 25 62 54 62 64 60 54 67 58 69 71 71 74 78 87 76 83 69 68 58 91 38 82 7 71 44 83 46 62 32 58 35 
11,37 84 58 69 68 58 64 60 54 62 25 62 22 60 7 64 2 99 4 50 18 54 13 40 24 42 18 40 25 38 44 35 41 26 45 21 62 32 58 35 82 7 91 38 83 46 71 44 83 69 87 76 74 78 71 71 54 67 41 94 
12,44 35 54 62 54 67 58 69 25 62 25 38 22 60 18 54 13 40 18 40 24 42 4 50 7 64 2 99 41 94 37 84 71 71 74 78 87 76 83 69 68 58 64 60 71 44 91 38 83 46 82 7 62 32 58 35 45 21 41 26 
13,87 76 74 78 71 71 41 94 58 69 54 67 68 58 64 60 54 62 37 84 2 99 7 64 18 54 25 62 22 60 24 42 18 40 4 50 13 40 25 38 44 35 41 26 45 21 62 32 58 35 82 7 91 38 83 46 71 44 83 69 
14,7 64 22 60 25 62 37 84 41 94 2 99 4 50 25 38 41 26 45 21 44 35 58 35 62 32 82 7 91 38 83 46 83 69 87 76 74 78 71 71 68 58 71 44 64 60 54 67 54 62 58 69 24 42 18 40 13 40 18 54 
15,64 60 68 58 83 46 62 32 58 35 45 21 41 26 44 35 25 38 24 42 22 60 25 62 18 40 13 40 18 54 4 50 7 64 2 99 41 94 37 84 58 69 54 67 54 62 71 44 82 7 91 38 83 69 87 76 74 78 71 71 
16,13 40 18 40 25 38 41 26 45 21 62 32 58 35 71 44 82 7 91 38 83 46 83 69 74 78 87 76 71 71 64 60 68 58 58 69 54 67 54 62 44 35 24 42 18 54 2 99 37 84 41 94 25 62 22 60 7 64 4 50 
17,18 54 22 60 25 62 7 64 37 84 2 99 41 94 54 67 64 60 68 58 83 46 83 69 87 76 74 78 71 71 58 69 54 62 71 44 91 38 82 7 58 35 62 32 45 21 41 26 44 35 25 38 24 42 18 40 13 40 4 50 
18,2 99 37 84 41 94 71 71 74 78 87 76 83 69 58 69 54 67 54 62 64 60 68 58 91 38 71 44 83 46 82 7 62 32 58 35 44 35 41 26 45 21 25 38 13 40 4 50 24 42 18 40 18 54 25 62 22 60 7 64 
19,64 60 58 69 54 67 25 62 22 60 18 54 18 40 13 40 4 50 7 64 2 99 37 84 41 94 74 78 87 76 71 71 83 69 68 58 54 62 24 42 25 38 44 35 41 26 45 21 58 35 62 32 82 7 91 38 83 46 71 44 
