Run,Route
0,41 26 58 35 62 32 82 7 91 38 83 46 71 44 71 71 83 69 87 76 74 78 58 69 68 58 54 62 64 60 54 67 37 84 41 94 2 99 18 54 22 60 25 62 7 64 4 50 13 40 18 40 25 38 24 42 44 35 45 21 
1,7 64 2 99 41 94 37 84 25 62 22 60 18 54 24 42 25 38 44 35 54 62 54 67 58 69 68 58 83 69 87 76 74 78 71 71 64 60 71 44 83 46 91 38 82 7 62 32 58 35 45 21 41 26 18 40 13 40 4 50 
2,18 54 22 60 25 62 18 40 13 40 25 38 24 42 44 35 41 26 45 21 82 7 91 38 58 35 62 32 71 44 83 46 68 58 64 60 58 69 54 62 54 67 71 71 87 76 83 69 74 78 41 94 37 84 2 99 7 64 4 50 
3,58 35 62 32 82 7 71 44 83 46 91 38 87 76 83 69 74 78 71 71 64 60 54 67 54 62 58 69 68 58 41 94 37 84 2 99 7 64 4 50 18 54 22 60 25 62 18 40 13 40 24 42 25 38 44 35 45 21 41 26 
4,71 71 54 67 54 62 41 94 2 99 37 84 25 62 18 54 22 60 7 64 4 50 13 40 24 42 18 40 25 38 44 35 41 26 45 21 58 35 62 32 82 7 91 38 83 46 64 60 58 69 68 58 71 44 83 69 87 76 74 78 
5,83 46 68 58 87 76 83 69 74 78 71 71 64 60 54 62 54 67 58 69 37 84 41 94 2 99 7 64 4 50 24 42 13 40 25 62 22 60 18 54 18 40 25 38 41 26 45 21 44 35 58 35 71 44 62 32 82 7 91 38 
6,7 64 25 62 22 60 18 54 13 40 4 50 18 40 24 42 25 38 41 26 45 21 58 35 44 35 62 32 82 7 91 38 71 44 83 46 87 76 83 69 71 71 64 60 68 58 74 78 58 69 54 62 54 67 41 94 37 84 2 99 
7,54 67 58 69 64 60 74 78 87 76 83 69 71 71 41 94 37 84 2 99 22 60 25 62 18 54 24 42 25 38 18 40 13 40 4 50 7 64 44 35 41 26 45 21 62 32 58 35 82 7 83 46 91 38 71 44 68 58 54 62 
8,74 78 71 71 54 62 58 69 54 67 37 84 41 94 2 99 7 64 4 50 18 40 13 40 18 54 22 60 25 62 24 42 25 38 41 26 44 35 45 21 71 44 83 46 91 38 82 7 62 32 58 35 64 60 68 58 83 69 87 76 
9,74 78 68 58 71 44 62 32 58 35 44 35 64 60 54 62 54 67 58 69 37 84 41 94 18 54 25 62 22 60 2 99 7 64 4 50 13 40 18 40 24 42 25 38 41 26 45 21 82 7 91 38 83 46 83 69 87 76 71 71 
10,45 21 41 26 24 42 25 38 13 40 4 50 7 64 2 99 41 94 37 84 54 67 54 62 71 71 74 78 87 76 83 69 83 46 91 38 82 7 62 32 71 44 68 58 64 60 58 69 25 62 22 60 18 54 18 40 44 35 58 35 
11,13 40 25 62 22 60 18 54 4 50 7 64 2 99 37 84 41 94 64 60 68 58 87 76 83 69 74 78 71 71 58 69 54 67 54 62 71 44 83 46 91 38 82 7 62 32 58 35 44 35 45 21 41 26 24 42 25 38 18 40 
12,25 62 22 60 7 64 4 50 18 54 2 99 37 84 41 94 71 71 83 69 87 76 74 78 58 69 54 67 54 62 64 60 68 58 83 46 91 38 82 7 41 26 45 21 44 35 58 35 71 44 62 32 24 42 25 38 18 40 13 40 
13,58 69 64 60 68 58 71 44 82 7 91 38 83 46 62 32 58 35 44 35 41 26 45 21 25 38 24 42 13 40 18 40 25 62 37 84 41 94 2 99 7 64 4 50 22 60 18 54 54 62 54 67 83 69 87 76 74 78 71 71 
14,41 94 2 99 25 62 22 60 7 64 4 50 18 54 13 40 18 40 24 42 25 38 41 26 45 21 44 35 62 32 82 7 91 38 83 46 58 35 54 62 54 67 58 69 64 60 71 44 68 58 83 69 87 76 71 71 74 78 37 84 
15,18 54 18 40 13 40 24 42 25 38 45 21 41 26 82 7 91 38 83 46 71 44 68 58 64 60 54 62 54 67 58 69 74 78 71 71 87 76 83 69 62 32 58 35 44 35 4 50 7 64 2 99 41 94 37 84 22 60 25 62 
16,2 99 7 64 4 50 18 54 24 42 25 38 18 40 13 40 22 60 25 62 54 62 54 67 58 69 68 58 64 60 62 32 58 35 44 35 41 26 45 21 82 7 71 44 83 46 91 38 87 76 83 69 71 71 74 78 41 94 37 84 
17,68 58 64 60 58 69 54 62 54 67 71 71 74 78 87 76 83 69 83 46 91 38 82 7 58 35 62 32 44 35 22 60 25 62 18 54 24 42 25 38 18 40 13 40 4 50 7 64 2 99 41 94 37 84 41 26 45 21 71 44 
18,4 50 13 40 24 42 18 40 25 38 41 26 45 21 44 35 58 35 82 7 62 32 91 38 83 46 83 69 87 76 74 78 71 71 58 69 54 67 68 58 71 44 64 60 54 62 37 84 41 94 2 99 25 62 22 60 18 54 7 64 
19,41 26 44 35 25 62 22 60 24 42 25 38 18 54 18 40 13 40 4 50 7 64 2 99 37 84 41 94 68 58 64 60 71 44 58 69 54 62 54 67 71 71 74 78 87 76 83 69 83 46 91 38 82 7 62 32 58 35 45 21 
