Run,Route
0,74 78 87 76 71 71 58 69 54 62 54 67 37 84 41 94 2 99 7 64 4 50 13 40 18 54 18 40 25 38 24 42 22 60 25 62 44 35 41 26 45 21 58 35 62 32 71 44 82 7 91 38 83 46 83 69 68 58 64 60 
1,83 69 87 76 74 78 41 94 37 84 2 99 7 64 4 50 22 60 25 62 18 54 13 40 24 42 25 38 18 40 41 26 45 21 44 35 58 35 62 32 68 58 83 46 91 38 82 7 71 44 64 60 54 67 54 62 58 69 71 71 
2,18 40 25 62 22 60 25 38 13 40 4 50 7 64 18 54 2 99 37 84 41 94 83 69 87 76 74 78 71 71 58 69 54 67 54 62 64 60 68 58 83 46 82 7 91 38 71 44 62 32 58 35 45 21 41 26 44 35 24 42 
3,74 78 87 76 83 69 71 71 58 69 54 62 64 60 68 58 71 44 83 46 91 38 82 7 62 32 58 35 45 21 41 26 44 35 24 42 37 84 41 94 2 99 7 64 13 40 18 40 25 38 4 50 18 54 22 60 25 62 54 67 
4,44 35 41 26 45 21 62 32 58 35 82 7 91 38 83 46 71 44 68 58 87 76 83 69 71 71 74 78 64 60 54 62 54 67 58 69 37 84 41 94 2 99 25 62 18 54 13 40 25 38 24 42 18 40 4 50 7 64 22 60 
5,71 44 83 46 91 38 82 7 62 32 58 35 44 35 45 21 41 26 24 42 25 38 13 40 18 40 4 50 7 64 2 99 41 94 37 84 22 60 25 62 18 54 64 60 58 69 54 62 54 67 83 69 87 76 74 78 71 71 68 58 
6,82 7 91 38 83 46 71 44 58 35 25 62 22 60 18 54 4 50 13 40 18 40 24 42 25 38 7 64 2 99 41 94 37 84 54 62 54 67 58 69 64 60 71 71 74 78 87 76 83 69 68 58 41 26 45 21 44 35 62 32 
7,58 35 82 7 91 38 83 46 71 44 68 58 54 67 54 62 58 69 64 60 71 71 74 78 83 69 87 76 41 94 37 84 2 99 4 50 25 62 22 60 18 54 7 64 13 40 18 40 25 38 24 42 44 35 45 21 41 26 62 32 
8,18 40 44 35 41 26 45 21 58 35 62 32 71 44 82 7 91 38 83 46 87 76 83 69 68 58 64 60 71 71 74 78 58 69 54 62 54 67 37 84 41 94 2 99 25 62 22 60 7 64 13 40 24 42 25 38 18 54 4 50 
9,25 38 18 40 4 50 13 40 24 42 7 64 25 62 22 60 18 54 2 99 41 94 37 84 54 67 64 60 54 62 58 69 71 71 74 78 87 76 83 69 68 58 71 44 58 35 62 32 91 38 83 46 82 7 45 21 41 26 44 35 
10,71 71 58 69 54 67 54 62 41 94 37 84 2 99 18 54 4 50 13 40 7 64 22 60 25 62 18 40 24 42 25 38 44 35 41 26 45 21 58 35 71 44 62 32 82 7 91 38 83 46 68 58 64 60 74 78 87 76 83 69 
11,58 35 44 35 41 26 45 21 25 38 18 40 13 40 4 50 7 64 2 99 24 42 18 54 22 60 25 62 37 84 41 94 68 58 64 60 54 62 54 67 58 69 71 71 74 78 87 76 83 69 83 46 91 38 82 7 71 44 62 32 
12,71 71 58 69 74 78 71 44 83 46 91 38 82 7 62 32 58 35 44 35 41 26 45 21 25 38 13 40 4 50 18 54 25 62 22 60 24 42 18 40 7 64 2 99 41 94 37 84 54 67 54 62 64 60 68 58 83 69 87 76 
13,22 60 25 62 58 35 62 32 45 21 41 26 44 35 82 7 91 38 83 46 71 44 64 60 68 58 83 69 87 76 71 71 74 78 54 62 54 67 58 69 41 94 37 84 2 99 7 64 4 50 18 54 13 40 18 40 25 38 24 42 
14,71 44 91 38 82 7 62 32 58 35 44 35 45 21 41 26 25 38 18 40 24 42 25 62 22 60 4 50 13 40 18 54 7 64 2 99 37 84 41 94 54 67 54 62 68 58 64 60 58 69 74 78 71 71 83 69 87 76 83 46 
15,24 42 13 40 18 40 25 38 44 35 41 26 45 21 58 35 62 32 82 7 91 38 71 44 83 46 68 58 87 76 83 69 74 78 71 71 58 69 64 60 54 62 54 67 37 84 41 94 2 99 4 50 7 64 22 60 25 62 18 54 
16,74 78 87 76 83 69 71 44 62 32 58 35 44 35 41 26 45 21 82 7 91 38 83 46 68 58 64 60 58 69 41 94 37 84 2 99 7 64 4 50 18 54 25 38 18 40 13 40 24 42 25 62 22 60 54 67 54 62 71 71 
17,2 99 37 84 41 94 74 78 87 76 83 69 71 71 68 58 71 44 58 35 62 32 82 7 91 38 83 46 44 35 45 21 41 26 64 60 58 69 54 67 54 62 25 62 22 60 18 54 24 42 25 38 18 40 13 40 4 50 7 64 
18,87 76 83 69 71 71 71 44 62 32 58 35 45 21 41 26 44 35 25 38 24 42 18 40 13 40 4 50 18 54 25 62 22 60 7 64 2 99 37 84 41 94 74 78 58 69 54 67 54 62 68 58 64 60 83 46 91 38 82 7 
19,37 84 41 94 25 62 22 60 18 54 7 64 2 99 4 50 13 40 24 42 18 40 25 38 44 35 41 26 45 21 58 35 62 32 82 7 91 38 71 44 83 46 68 58 71 71 74 78 83 69 87 76 58 69 64 60 54 62 54 67 
