Run,Route
0,5 64 8 52 25 55 37 52 27 68 37 69 52 64 42 57 31 62 38 46 40 30 32 39 30 15 39 10 21 10 13 13 5 6 10 17 5 25 25 32 30 48 49 49 52 41 27 23 31 32 52 33 61 33 58 27 36 16 46 10 59 15 51 21 48 28 45 35 42 41 43 67 57 58 62 63 63 69 62 42 58 48 56 37 32 22 20 26 17 33 7 38 21 47 12 42 17 63 16 57 
1,7 38 20 26 31 32 46 10 27 23 32 22 21 47 8 52 17 63 5 64 16 57 25 55 27 68 37 69 43 67 31 62 37 52 58 48 57 58 52 41 45 35 40 30 61 33 56 37 62 42 42 57 63 69 62 63 52 64 32 39 25 32 58 27 51 21 36 16 30 15 39 10 48 28 59 15 52 33 49 49 42 41 38 46 30 48 12 42 17 33 21 10 13 13 5 6 10 17 5 25 
2,25 32 17 33 20 26 31 32 30 15 39 10 46 10 61 33 52 41 58 27 62 42 58 48 56 37 52 33 51 21 59 15 48 28 38 46 5 64 16 57 8 52 37 52 21 47 17 63 27 68 43 67 37 69 63 69 62 63 57 58 52 64 49 49 25 55 7 38 5 25 10 17 21 10 13 13 5 6 27 23 36 16 32 22 32 39 45 35 40 30 42 41 42 57 31 62 30 48 12 42 
3,20 26 39 10 46 10 48 28 52 33 58 27 40 30 31 32 30 48 21 47 17 33 7 38 30 15 36 16 32 22 27 23 10 17 21 10 13 13 5 6 5 25 25 32 32 39 45 35 37 69 63 69 62 63 31 62 37 52 42 57 49 49 56 37 38 46 42 41 61 33 62 42 52 41 59 15 51 21 58 48 57 58 52 64 43 67 27 68 17 63 25 55 16 57 5 64 8 52 12 42 
4,42 41 32 39 40 30 32 22 27 23 21 10 30 15 39 10 46 10 36 16 51 21 52 33 61 33 59 15 58 27 62 42 52 41 49 49 57 58 62 63 63 69 37 69 17 63 17 33 25 32 31 32 37 52 42 57 52 64 43 67 27 68 31 62 7 38 20 26 13 13 5 25 5 6 10 17 12 42 16 57 25 55 21 47 8 52 5 64 38 46 30 48 58 48 56 37 48 28 45 35 
5,13 13 21 10 30 15 59 15 58 27 48 28 40 30 51 21 45 35 52 33 56 37 49 49 63 69 37 69 42 57 42 41 32 39 21 47 8 52 5 64 17 63 16 57 31 62 43 67 52 64 62 42 58 48 57 58 62 63 61 33 52 41 46 10 39 10 36 16 27 23 32 22 25 32 31 32 12 42 37 52 27 68 25 55 38 46 30 48 5 25 7 38 17 33 20 26 10 17 5 6 
6,42 41 32 39 21 47 16 57 25 55 27 68 17 63 31 62 37 69 43 67 52 64 42 57 31 32 58 27 61 33 62 63 63 69 57 58 58 48 56 37 32 22 30 15 27 23 25 32 52 41 45 35 40 30 48 28 39 10 36 16 52 33 51 21 46 10 59 15 20 26 10 17 13 13 21 10 17 33 5 6 5 25 7 38 12 42 8 52 5 64 30 48 37 52 38 46 49 49 62 42 
7,37 69 25 55 32 39 27 23 5 25 10 17 5 6 13 13 20 26 8 52 5 64 17 63 16 57 27 68 31 62 42 41 31 32 30 15 21 10 32 22 36 16 39 10 59 15 46 10 40 30 48 28 58 27 61 33 58 48 62 42 49 49 52 64 43 67 62 63 52 33 51 21 45 35 56 37 52 41 57 58 63 69 30 48 25 32 17 33 7 38 12 42 21 47 38 46 37 52 42 57 
8,58 48 62 42 62 63 63 69 52 41 52 33 38 46 42 41 40 30 31 32 48 28 58 27 59 15 56 37 61 33 51 21 32 22 39 10 46 10 36 16 30 15 27 23 21 10 5 6 10 17 5 25 7 38 12 42 31 62 37 69 27 68 21 47 13 13 20 26 8 52 5 64 16 57 17 63 32 39 25 32 17 33 45 35 57 58 52 64 43 67 25 55 37 52 30 48 42 57 49 49 
9,37 52 49 49 42 57 30 48 27 23 20 26 51 21 40 30 52 64 63 69 62 63 43 67 37 69 57 58 58 48 62 42 56 37 27 68 25 55 38 46 32 39 25 32 12 42 7 38 17 33 31 32 21 47 5 25 10 17 5 6 21 10 13 13 30 15 32 22 36 16 39 10 46 10 59 15 61 33 58 27 52 41 42 41 48 28 52 33 45 35 8 52 16 57 5 64 17 63 31 62 
10,5 64 8 52 12 42 16 57 27 68 43 67 62 63 52 64 63 69 57 58 31 62 25 55 37 52 58 48 62 42 49 49 56 37 61 33 52 33 48 28 45 35 42 41 52 41 32 39 40 30 51 21 46 10 27 23 20 26 5 25 10 17 13 13 5 6 21 10 30 15 36 16 30 48 21 47 17 33 7 38 25 32 39 10 58 27 59 15 32 22 31 32 38 46 37 69 42 57 17 63 
11,16 57 17 63 31 62 27 68 38 46 49 49 58 27 52 33 56 37 62 42 61 33 59 15 46 10 39 10 51 21 58 48 57 58 52 64 62 63 63 69 37 69 43 67 42 57 30 48 32 39 25 55 12 42 7 38 5 64 8 52 25 32 21 47 42 41 52 41 40 30 32 22 30 15 17 33 5 25 20 26 31 32 45 35 48 28 36 16 10 17 13 13 5 6 21 10 27 23 37 52 
12,63 69 52 64 57 58 43 67 37 69 31 62 42 57 58 48 49 49 42 41 45 35 38 46 21 47 25 32 31 32 32 22 30 15 39 10 58 27 56 37 62 42 52 33 48 28 37 52 27 68 17 63 25 55 30 48 20 26 5 25 10 17 17 33 12 42 7 38 8 52 5 64 16 57 32 39 40 30 52 41 5 6 13 13 21 10 27 23 36 16 46 10 51 21 59 15 61 33 62 63 
13,21 47 17 33 32 22 36 16 30 15 21 10 5 6 13 13 10 17 12 42 7 38 25 55 17 63 8 52 5 64 16 57 27 68 43 67 37 69 52 64 42 41 38 46 31 32 25 32 30 48 58 27 62 42 58 48 57 58 62 63 63 69 56 37 40 30 42 57 49 49 61 33 51 21 59 15 46 10 39 10 48 28 52 33 52 41 45 35 37 52 31 62 32 39 27 23 20 26 5 25 
14,38 46 37 52 27 68 31 62 30 48 52 41 57 58 52 64 62 63 63 69 49 49 43 67 37 69 42 57 58 48 62 42 56 37 61 33 58 27 59 15 51 21 20 26 32 22 27 23 36 16 46 10 30 15 39 10 45 35 21 10 5 25 13 13 5 6 10 17 17 33 12 42 16 57 5 64 8 52 17 63 7 38 40 30 48 28 52 33 25 32 31 32 32 39 42 41 21 47 25 55 
15,27 68 17 63 30 48 31 62 5 64 8 52 17 33 52 33 39 10 46 10 59 15 61 33 56 37 58 27 58 48 38 46 37 52 63 69 62 63 52 64 37 69 43 67 42 57 49 49 62 42 57 58 52 41 48 28 31 32 25 55 32 39 45 35 42 41 51 21 40 30 27 23 32 22 25 32 20 26 30 15 36 16 21 10 13 13 5 6 10 17 5 25 7 38 12 42 21 47 16 57 
16,37 52 38 46 49 49 58 48 42 41 21 47 37 69 31 62 17 63 5 64 8 52 25 55 25 32 5 25 7 38 20 26 27 23 36 16 5 6 10 17 13 13 21 10 17 33 12 42 16 57 52 64 63 69 57 58 62 63 52 41 56 37 61 33 62 42 52 33 58 27 46 10 59 15 48 28 45 35 51 21 40 30 39 10 30 15 32 22 31 32 32 39 30 48 27 68 43 67 42 57 
